customer_id,first_name,last_name,gender,birth_date,country
1001,Michael,Harris,Female,1996-11-21,UK
1002,Daniel,Lewis,Male,2003-07-13,Singapore
1003,Amelia,Lewis,Male,1980-09-19,Canada
1004,Joseph,Martin,Male,1996-10-04,Germany
1005,Sophia,Walker,Male,1972-09-06,France
1006,Joseph,King,Female,1973-05-16,Singapore
1007,Sophia,King,Male,1962-09-02,Brazil
1008,Matthew,Brown,Male,1966-08-08,France
1009,Daniel,Allen,Female,1977-05-04,Singapore
1010,David,Lewis,Male,2001-08-16,France
1011,Ava,King,Male,1989-04-24,Germany
1012,Joseph,Jackson,Male,1978-10-22,India
1013,Matthew,Brown,Male,1997-10-26,Canada
1014,Michael,Smith,Male,1961-04-23,UK
1015,Sophia,Hall,Female,1970-06-12,Singapore
1016,Matthew,Thomas,Female,1969-03-23,Germany
1017,Thomas,Wright,Female,1989-06-05,Australia
1018,Olivia,Young,Male,2002-10-29,UK
1019,Ella,Jackson,Female,1969-04-24,Canada
1020,David,Martin,Female,1996-02-16,Singapore
1021,Ella,Allen,Female,1990-06-11,Japan
1022,Harper,White,Female,1962-07-26,Germany
1023,Michael,Clark,Male,1970-03-21,Australia
1024,Mia,Scott,Male,1972-04-23,Germany
1025,David,Brown,Male,1982-07-25,Singapore
1026,Mia,Clark,Male,1998-05-03,Canada
1027,Emma,Lewis,Female,1990-01-05,India
1028,Ella,Thomas,Male,1967-06-14,UK
1029,Daniel,Clark,Female,1974-10-19,Brazil
1030,Joseph,Clark,Male,1984-08-03,Japan
1031,Joseph,Wright,Male,1972-07-25,USA
1032,Michael,Clark,Female,1994-02-12,India
1033,Michael,Harris,Male,1985-04-06,India
1034,Sophia,Taylor,Female,1964-02-21,Singapore
1035,John,Wilson,Male,1964-01-07,USA
1036,Thomas,Wright,Male,1964-06-28,Brazil
1037,Joseph,Lee,Male,1985-05-14,Japan
1038,Joseph,Scott,Female,1979-01-02,USA
1039,Thomas,Taylor,Male,1964-05-10,Brazil
1040,Mia,White,Female,1986-02-25,UK
1041,Mia,Allen,Female,1976-09-19,USA
1042,Sophia,Jackson,Male,1983-02-26,UK
1043,John,Martin,Female,1985-09-20,UK
1044,Matthew,Lewis,Female,1983-01-11,India
1045,Joseph,Jackson,Female,1984-01-15,Brazil
1046,Matthew,White,Male,1983-05-07,USA
1047,Harper,Lewis,Male,2002-06-04,France
1048,Matthew,Young,Male,1983-10-21,USA
1049,David,Hall,Female,1973-01-15,Singapore
1050,Emma,Young,Male,1987-07-06,Australia
1051,Mia,Clark,Female,1974-01-29,Brazil
1052,Joseph,Thomas,Male,1988-08-26,France
1053,Ella,Brown,Female,2000-05-27,Brazil
1054,Thomas,Wilson,Female,1976-07-30,Singapore
1055,Olivia,Hall,Female,1973-01-08,Singapore
1056,Mia,Hall,Female,1999-01-19,Brazil
1057,Emily,Wright,Female,1974-11-07,Canada
1058,Robert,Jackson,Female,1970-07-17,Canada
1059,Isabella,Harris,Female,1999-01-09,USA
1060,David,Anderson,Male,1999-04-01,Japan
1061,Michael,Clark,Female,1962-10-26,India
1062,Joseph,Scott,Male,1987-07-09,Australia
1063,David,Anderson,Female,1977-10-02,Australia
1064,Amelia,Hall,Male,1969-12-20,USA
1065,Thomas,Anderson,Male,1988-07-20,Singapore
1066,Emily,Harris,Female,1978-07-25,Brazil
1067,Isabella,Clark,Female,1982-07-16,Brazil
1068,Mia,White,Male,1991-11-02,France
1069,Michael,Lewis,Female,1987-05-23,Singapore
1070,Robert,Smith,Female,1964-11-13,Brazil
1071,Robert,Taylor,Male,1974-05-04,India
1072,Matthew,Scott,Female,1963-08-20,Japan
1073,John,Allen,Female,1978-09-25,Singapore
1074,Sophia,Scott,Male,2000-01-26,Germany
1075,Olivia,Allen,Female,1971-08-20,Brazil
1076,James,Taylor,Male,1977-05-17,Singapore
1077,Daniel,Clark,Male,1967-11-26,France
1078,Daniel,Wilson,Male,1971-09-14,France
1079,Sophia,White,Female,1976-05-31,Australia
1080,Ava,Harris,Female,1970-06-15,Japan
1081,Emily,Young,Male,1990-04-24,UK
1082,John,Smith,Male,1973-01-28,Canada
1083,Amelia,Thomas,Male,1976-01-13,Japan
1084,Joseph,White,Male,1983-09-11,Singapore
1085,Mia,Young,Male,1971-01-29,UK
1086,Daniel,Taylor,Female,1972-06-02,Australia
1087,Thomas,Jackson,Female,1980-06-16,Japan
1088,Matthew,Wright,Male,1964-05-01,UK
1089,Isabella,Wright,Female,1993-12-25,Singapore
1090,Joseph,Walker,Male,1962-01-08,Canada
1091,Thomas,King,Female,1961-01-13,Singapore
1092,Emily,Lee,Male,1996-03-03,USA
1093,Matthew,Lee,Female,1991-10-24,Canada
1094,Daniel,Lewis,Male,1977-11-17,India
1095,Amelia,Taylor,Male,1960-12-23,France
1096,William,Allen,Male,1987-10-24,France
1097,Isabella,Young,Female,1973-07-02,Japan
1098,Emma,Taylor,Male,1973-06-16,Brazil
1099,Thomas,Wilson,Female,1982-07-19,India
1100,Emily,Clark,Female,1992-05-06,India
1101,Sophia,Lee,Male,1972-08-22,Germany
1102,Sophia,Lee,Male,1984-08-24,Australia
1103,Amelia,Scott,Female,1995-03-17,Singapore
1104,John,Martin,Male,1986-08-16,Singapore
1105,Matthew,Allen,Female,1967-08-17,India
1106,Matthew,Brown,Female,1981-12-25,India
1107,Amelia,Brown,Female,1969-08-16,USA
1108,David,Scott,Female,2003-06-13,India
1109,William,Young,Female,1961-06-18,Canada
1110,Amelia,Wright,Female,1967-05-09,UK
1111,William,Young,Male,1992-03-03,France
1112,Thomas,Wilson,Male,2003-06-15,USA
1113,Daniel,Martin,Female,1973-05-12,Japan
1114,David,Lee,Male,1965-01-19,Australia
1115,Matthew,Jackson,Male,1991-09-24,USA
1116,Ella,Smith,Female,1981-01-05,USA
1117,Olivia,King,Female,1985-11-16,Australia
1118,Isabella,Martin,Male,1966-08-29,India
1119,Michael,Young,Male,1986-01-21,Canada
1120,Sophia,Wilson,Female,1997-02-11,Germany
1121,Harper,Lewis,Male,1986-05-11,Singapore
1122,James,Martin,Male,1983-06-27,India
1123,James,White,Male,2003-01-25,India
1124,Isabella,Smith,Female,1970-12-01,Japan
1125,Matthew,Taylor,Male,1997-03-07,Canada
1126,Isabella,Clark,Female,1983-07-30,Japan
1127,Ella,Thomas,Female,1981-12-10,Germany
1128,William,Wilson,Female,1965-06-09,India
1129,Michael,Walker,Male,1962-02-25,Australia
1130,Daniel,Brown,Male,1984-07-08,France
1131,Ella,White,Male,2000-06-14,Canada
1132,David,White,Male,2000-03-27,Germany
1133,John,Thomas,Male,1971-02-03,Japan
1134,Michael,Wilson,Female,1967-01-06,Brazil
1135,James,Wright,Male,2002-03-22,Canada
1136,Emily,Scott,Female,1997-07-25,Canada
1137,Amelia,Allen,Male,1972-04-19,Canada
1138,John,White,Female,1983-03-31,UK
1139,Emma,Hall,Female,1975-05-16,Japan
1140,Emily,Brown,Female,1997-09-29,India
1141,Isabella,Lee,Female,1975-01-03,Singapore
1142,David,Scott,Female,1976-11-26,Canada
1143,Thomas,Hall,Male,1995-05-18,France
1144,John,Walker,Male,1995-01-31,France
1145,James,Jackson,Female,1966-05-25,Brazil
1146,Emma,Allen,Female,1964-10-06,Canada
1147,Matthew,Martin,Female,1996-05-15,Germany
1148,Ava,Brown,Female,1970-12-13,Canada
